subject_entity_alias,predicate,object_entity_alias,notes
Tissue,http://purl.obolibrary.org/obo/OBI_0600005,Sample,{collecting specimen from organism}
Sample,http://purl.obolibrary.org/obo/OBI_0000295,Event,{is_specified_input_of}
Sample,http://purl.obolibrary.org/obo/RO_0000086,Diagnostics,{has quality}
Sample,http://purl.obolibrary.org/obo/OBI_0000299,Sample_Photo,{has_specified_output}
Event,http://purl.obolibrary.org/obo/OBI_0000299,Event_Photo,{has_specified_output}
Tissue,http://purl.obolibrary.org/obo/OBI_0000299,fastqMetadata,{has_specified_output}
Tissue,http://purl.obolibrary.org/obo/OBI_0000299,fastaSequence,{has_specified_output}


